Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Winner,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeWinner,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed
16/08/03,Arsenal,Everton,2.0,1.0,H,1.0,0.0,H,M Halsey,11.0,13.0,5.0,7.0,8.0,15.0,6.0,9.0,1.0,3.0,1.0,1.0
16/08/03,Birmingham,Tottenham,1.0,0.0,H,1.0,0.0,H,R Styles,10.0,15.0,5.0,7.0,20.0,27.0,1.0,4.0,3.0,5.0,0.0,0.0
16/08/03,Blackburn,Wolves,5.0,1.0,H,2.0,0.0,H,J Winter,25.0,8.0,13.0,5.0,8.0,14.0,6.0,2.0,1.0,1.0,0.0,0.0
16/08/03,Fulham,Middlesbrough,3.0,2.0,H,1.0,1.0,D,G Poll,17.0,8.0,9.0,5.0,18.0,16.0,7.0,6.0,1.0,1.0,0.0,0.0
16/08/03,Leicester,Southampton,2.0,2.0,D,2.0,0.0,H,M Riley,12.0,13.0,7.0,10.0,27.0,15.0,2.0,7.0,3.0,1.0,0.0,0.0
16/08/03,Man United,Bolton,4.0,0.0,H,1.0,0.0,H,P Durkin,13.0,15.0,6.0,5.0,12.0,8.0,8.0,4.0,0.0,4.0,0.0,0.0
16/08/03,Portsmouth,Aston Villa,2.0,1.0,H,1.0,0.0,H,G Barber,4.0,9.0,3.0,5.0,18.0,22.0,7.0,9.0,2.0,1.0,0.0,1.0
17/08/03,Charlton,Man City,0.0,3.0,A,0.0,2.0,A,M Dean,10.0,14.0,5.0,8.0,12.0,16.0,4.0,7.0,2.0,1.0,1.0,0.0
17/08/03,Leeds,Newcastle,2.0,2.0,D,1.0,1.0,D,R Martin,8.0,19.0,3.0,10.0,19.0,16.0,4.0,8.0,4.0,2.0,0.0,0.0
17/08/03,Liverpool,Chelsea,1.0,2.0,A,0.0,1.0,A,S Bennett,12.0,10.0,7.0,6.0,13.0,12.0,8.0,6.0,3.0,1.0,0.0,0.0
13/06/10,Blackburn,Wolves,1.0,2.0,A,1.0,1.0,D,K Friend,16.0,13.0,8.0,4.0,14.0,10.0,12.0,6.0,4.0,2.0,0.0,0.0
14/08/10,Aston Villa,West Ham,3.0,0.0,H,2.0,0.0,H,M Dean,23.0,12.0,11.0,2.0,15.0,15.0,16.0,7.0,1.0,2.0,0.0,0.0
14/08/10,Blackburn,Everton,1.0,0.0,H,1.0,0.0,H,P Dowd,7.0,17.0,2.0,12.0,19.0,14.0,1.0,3.0,2.0,1.0,0.0,0.0
14/08/10,Bolton,Fulham,0.0,0.0,D,0.0,0.0,D,S Attwell,13.0,12.0,9.0,7.0,12.0,13.0,4.0,8.0,1.0,3.0,0.0,0.0
14/08/10,Chelsea,West Brom,6.0,0.0,H,2.0,0.0,H,M Clattenburg,18.0,10.0,13.0,4.0,10.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0
14/08/10,Sunderland,Birmingham,2.0,2.0,D,1.0,0.0,H,A Taylor,6.0,13.0,2.0,7.0,13.0,10.0,3.0,6.0,3.0,3.0,1.0,0.0
14/08/10,Tottenham,Man City,0.0,0.0,D,0.0,0.0,D,A Marriner,22.0,11.0,18.0,7.0,13.0,16.0,10.0,3.0,0.0,2.0,0.0,0.0
14/08/10,Wigan,Blackpool,0.0,4.0,A,0.0,3.0,A,M Halsey,11.0,9.0,6.0,7.0,8.0,11.0,6.0,4.0,1.0,1.0,0.0,0.0
14/08/10,Wolves,Stoke,2.0,1.0,H,2.0,0.0,H,L Probert,13.0,10.0,7.0,6.0,17.0,13.0,5.0,5.0,0.0,2.0,0.0,0.0
15/08/10,Liverpool,Arsenal,1.0,1.0,D,0.0,0.0,D,M Atkinson,7.0,14.0,4.0,7.0,13.0,15.0,9.0,11.0,1.0,3.0,1.0,1.0
16/08/10,Man United,Newcastle,3.0,0.0,H,2.0,0.0,H,C Foy,18.0,7.0,10.0,3.0,9.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0