,home_team,away_team,home_score,away_score,home_strength,away_strength,t-3 home_attacking,t-3 home_defending,t-3 home_oppstrength,t-3 home_home,t-3 away_attacking,t-3 away_defending,t-3 away_oppstrength,t-3 away_home,t-2 home_attacking,t-2 home_defending,t-2 home_oppstrength,t-2 home_home,t-2 away_attacking,t-2 away_defending,t-2 away_oppstrength,t-2 away_home,t-1 home_attacking,t-1 home_defending,t-1 home_oppstrength,t-1 home_home,t-1 away_attacking,t-1 away_defending,t-1 away_oppstrength,t-1 away_home
1,Swansea City,Manchester United,1,4,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
14,Manchester United,Chelsea,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
20,Liverpool,Manchester United,1,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
23,Manchester United,Crystal Palace,2,0,0.6666666666666666,0.0,4,1,0.0,-1,0,1,0.0,1,0,0,0.0,1,1,2,0.0,-1,0,1,0.0,-1,3,1,0.0,1
33,Manchester City,Manchester United,4,1,2.0,0.3333333333333333,4,0,0.0,1,0,0,0.0,1,2,0,0.0,1,0,1,0.0,-1,0,0,0.0,-1,2,0,0.0,1
38,Manchester United,West Bromwich Albion,1,2,-0.6666666666666666,0.3333333333333333,0,1,0.0,-1,0,0,0.0,-1,2,0,0.0,1,0,2,0.0,1,1,4,2.0,-1,3,0,0.0,1
46,Sunderland,Manchester United,1,2,-2.3333333333333335,-0.6666666666666666,1,3,0.0,1,2,0,0.0,1,0,3,-1.0,-1,1,4,2.0,-1,1,3,0.0,1,1,2,0.3333333333333333,1
53,Manchester United,Southampton,1,1,-1.0,1.6666666666666667,1,4,2.0,-1,1,0,0.0,-1,1,2,0.3333333333333333,1,2,0,0.0,1,2,1,-2.3333333333333335,-1,2,0,0.3333333333333333,1
58,Manchester United,Stoke City,3,2,0.0,-0.6666666666666666,1,2,0.3333333333333333,1,0,0,0.0,1,2,1,-2.3333333333333335,-1,1,3,0.3333333333333333,-1,1,1,1.6666666666666667,1,0,0,1.3333333333333333,1
75,Manchester United,Arsenal,1,0,0.6666666666666666,1.3333333333333333,2,1,-2.3333333333333335,-1,1,1,0.6666666666666666,-1,1,1,1.6666666666666667,1,2,0,0.0,-1,3,2,-0.6666666666666666,1,2,0,0.0,1
89,Tottenham Hotspur,Manchester United,2,2,-2.3333333333333335,0.6666666666666666,0,0,0.0,-1,1,1,1.6666666666666667,1,0,1,0.0,1,3,2,-0.6666666666666666,1,0,6,0.0,-1,1,0,1.3333333333333333,1
94,Manchester United,Everton,0,1,0.6666666666666666,1.3333333333333333,3,2,-0.6666666666666666,1,0,0,-2.0,-1,1,0,1.3333333333333333,1,3,3,0.0,1,2,2,-2.3333333333333335,-1,4,0,0.6666666666666666,1
104,Manchester United,Newcastle United,0,1,0.0,-0.3333333333333333,1,0,1.3333333333333333,1,1,0,1.0,-1,2,2,-2.3333333333333335,-1,2,1,0.6666666666666666,1,0,1,1.3333333333333333,1,0,3,-1.0,-1
113,Aston Villa,Manchester United,0,3,0.3333333333333333,-0.6666666666666666,2,2,-0.3333333333333333,-1,2,2,-2.3333333333333335,-1,0,0,-0.6666666666666666,1,0,1,1.3333333333333333,1,3,2,-0.3333333333333333,-1,0,1,-0.3333333333333333,1
116,Manchester United,West Ham United,3,1,0.3333333333333333,-1.3333333333333333,0,1,1.3333333333333333,1,0,1,0.0,-1,0,1,-0.3333333333333333,1,1,4,0.0,-1,3,0,0.0,-1,0,0,-0.6666666666666666,1
126,Hull City,Manchester United,2,3,0.0,1.3333333333333333,1,1,0.0,-1,0,1,-0.3333333333333333,1,0,0,0.0,1,3,0,0.0,-1,1,1,-0.6666666666666666,-1,3,1,-1.3333333333333333,1
141,Manchester United,Tottenham Hotspur,1,2,2.0,1.3333333333333333,3,0,0.0,-1,3,2,0.0,-1,3,1,-1.3333333333333333,1,1,1,-0.6666666666666666,1,3,2,0.0,-1,3,0,0.0,1
144,Manchester United,Swansea City,2,0,0.6666666666666666,-0.6666666666666666,3,1,-1.3333333333333333,1,0,1,0.0,-1,3,2,0.0,-1,1,1,0.0,-1,1,2,1.3333333333333333,1,2,3,1.6666666666666667,1
155,Chelsea,Manchester United,3,1,2.0,0.6666666666666666,2,1,2.3333333333333335,1,3,2,0.0,-1,3,0,-0.6666666666666666,-1,1,2,1.3333333333333333,1,2,0,-1.0,-1,2,0,-0.6666666666666666,1
168,Stoke City,Manchester United,2,1,-1.3333333333333333,-0.3333333333333333,3,5,0.0,1,1,2,1.3333333333333333,1,0,1,0.0,-1,2,0,-0.6666666666666666,1,0,1,0.0,-1,1,3,0.0,-1
181,Arsenal,Manchester United,0,0,-0.6666666666666666,-0.3333333333333333,2,2,0.0,-1,2,0,-0.6666666666666666,1,2,0,0.0,1,1,3,0.0,-1,1,5,0.0,-1,1,2,-1.3333333333333333,-1
185,Crystal Palace,Manchester United,0,2,0.3333333333333333,-1.0,1,0,-1.6666666666666667,1,1,3,0.0,-1,0,2,0.6666666666666666,-1,1,2,-1.3333333333333333,-1,3,1,-0.3333333333333333,1,0,0,-0.6666666666666666,-1
197,West Bromwich Albion,Manchester United,0,3,-0.6666666666666666,0.3333333333333333,1,1,0.0,1,1,2,-1.3333333333333333,-1,1,3,0.0,-1,0,0,-0.6666666666666666,-1,1,1,0.0,1,2,0,0.3333333333333333,-1
204,Manchester United,Liverpool,0,3,1.6666666666666667,2.6666666666666665,0,0,-0.6666666666666666,-1,5,1,1.0,1,2,0,0.3333333333333333,-1,4,3,-1.3333333333333333,1,3,0,-0.6666666666666666,-1,3,0,-0.3333333333333333,-1
209,West Ham United,Manchester United,0,2,-0.3333333333333333,0.6666666666666666,3,1,0.3333333333333333,1,2,0,0.3333333333333333,-1,0,1,0.0,-1,3,0,-0.6666666666666666,-1,1,3,0.0,-1,0,3,0.0,1
214,Manchester United,Manchester City,0,3,0.6666666666666666,0.6666666666666666,3,0,-0.6666666666666666,-1,0,1,0.0,1,0,3,0.0,1,1,0,0.0,1,2,0,-0.3333333333333333,-1,2,0,0.0,-1
220,Manchester United,Aston Villa,4,1,-1.3333333333333333,-1.0,0,3,0.0,1,0,1,-3.3333333333333335,-1,2,0,-0.3333333333333333,-1,1,0,1.6666666666666667,1,0,3,0.6666666666666666,1,1,4,0.6666666666666666,1
225,Newcastle United,Manchester United,0,4,-2.0,0.6666666666666666,1,0,0.0,1,2,0,-0.3333333333333333,-1,0,3,0.0,1,0,3,0.6666666666666666,1,0,4,-1.0,-1,4,1,0.0,1
246,Everton,Manchester United,2,0,1.0,1.3333333333333333,3,0,-2.0,1,0,3,0.6666666666666666,1,1,0,-2.0,-1,4,1,0.0,1,2,3,0.3333333333333333,1,4,0,-2.0,-1
258,Manchester United,Sunderland,0,1,1.6666666666666667,0.0,4,1,0.0,1,0,1,0.0,1,4,0,-2.0,-1,2,2,0.6666666666666666,-1,0,2,1.0,-1,2,1,0.0,-1
262,Manchester United,Hull City,3,1,0.3333333333333333,-1.3333333333333333,4,0,-2.0,-1,1,0,0.0,1,0,2,1.0,-1,0,3,0.0,1,0,1,0.0,1,1,3,0.0,-1
266,Southampton,Manchester United,1,1,1.0,-0.3333333333333333,0,0,0.0,-1,0,2,1.0,-1,2,0,0.0,1,0,1,0.0,1,1,0,1.0,-1,3,1,-1.3333333333333333,1
275,Manchester United,Swansea City,1,2,0.3333333333333333,1.3333333333333333,0,1,0.0,1,4,1,0.0,1,3,1,-1.3333333333333333,1,0,1,0.0,1,1,1,1.0,-1,3,1,1.3333333333333333,-1
290,Sunderland,Manchester United,1,1,0.0,0.3333333333333333,2,0,-0.6666666666666666,1,3,1,-1.3333333333333333,1,1,3,0.0,1,1,1,1.0,-1,2,2,-1.3333333333333333,-1,1,2,1.3333333333333333,1
292,Burnley,Manchester United,0,0,0.0,-0.3333333333333333,0,0,0.0,0,1,1,1.0,-1,0,0,0.0,0,1,2,1.3333333333333333,1,0,0,0.0,0,1,1,0.0,-1
310,Manchester United,Queens Park Rangers,4,0,-0.3333333333333333,-1.3333333333333333,1,2,1.3333333333333333,1,0,1,0.0,1,1,1,0.0,-1,0,4,0.0,-1,0,0,0.0,-1,1,0,0.0,1
319,Leicester City,Manchester United,5,3,-0.3333333333333333,1.3333333333333333,0,2,0.0,-1,1,1,0.0,-1,1,1,0.6666666666666666,1,0,0,0.0,-1,1,0,0.0,-1,4,0,-1.3333333333333333,1
327,Manchester United,West Ham United,2,1,0.6666666666666666,0.0,0,0,0.0,-1,1,3,-0.3333333333333333,1,4,0,-1.3333333333333333,1,2,2,0.0,-1,3,5,-0.3333333333333333,-1,3,1,0.0,1
340,Manchester United,Everton,2,1,1.0,0.3333333333333333,4,0,-1.3333333333333333,1,2,0,-1.0,-1,3,5,-0.3333333333333333,-1,2,3,-0.6666666666666666,1,2,1,0.0,1,1,1,0.0,-1
351,West Bromwich Albion,Manchester United,2,2,1.3333333333333333,0.0,1,0,0.0,-1,3,5,-0.3333333333333333,-1,4,0,0.0,1,2,1,0.0,1,1,2,0.0,-1,2,1,0.3333333333333333,1
360,Manchester United,Chelsea,1,1,0.6666666666666666,2.0,2,1,0.0,1,3,0,0.0,1,2,1,0.3333333333333333,1,2,0,1.0,1,2,2,1.3333333333333333,-1,2,1,0.3333333333333333,-1
369,Manchester City,Manchester United,1,0,1.3333333333333333,0.3333333333333333,2,0,0.0,-1,2,1,0.3333333333333333,1,4,1,0.0,1,2,2,1.3333333333333333,-1,1,2,0.0,-1,1,1,0.0,1
377,Manchester United,Crystal Palace,1,0,-0.3333333333333333,-1.0,2,2,1.3333333333333333,-1,1,2,0.0,1,1,1,0.0,1,2,2,1.0,-1,0,1,1.3333333333333333,-1,1,3,-2.6666666666666665,1
382,Arsenal,Manchester United,1,2,1.3333333333333333,0.0,2,0,-2.0,-1,1,1,0.0,1,3,0,0.0,1,0,1,1.3333333333333333,-1,1,2,0.3333333333333333,-1,1,0,-1.0,1
392,Manchester United,Hull City,3,0,0.3333333333333333,-1.0,0,1,1.3333333333333333,-1,0,1,0.0,1,1,0,-1.0,1,0,1,0.0,-1,2,1,1.3333333333333333,-1,1,2,0.0,1
406,Manchester United,Stoke City,2,1,1.6666666666666667,-0.3333333333333333,1,0,-1.0,1,2,1,-1.0,-1,2,1,1.3333333333333333,-1,1,2,0.0,1,3,0,-1.0,1,0,1,0.0,-1
421,Southampton,Manchester United,1,2,-1.3333333333333333,1.6666666666666667,1,1,0.0,-1,2,1,1.3333333333333333,-1,0,3,0.6666666666666666,1,3,0,-1.0,1,0,1,-0.3333333333333333,-1,2,1,-0.3333333333333333,1
430,Manchester United,Liverpool,3,0,1.6666666666666667,1.0,3,0,-1.0,1,1,0,0.0,1,2,1,-0.3333333333333333,1,3,1,-1.0,-1,2,1,-1.3333333333333333,-1,0,0,-1.0,1
438,Aston Villa,Manchester United,1,1,0.3333333333333333,1.6666666666666667,1,0,0.3333333333333333,-1,2,1,-0.3333333333333333,1,2,1,-1.0,1,2,1,-1.3333333333333333,-1,0,1,-0.6666666666666666,-1,3,0,0.0,1
443,Manchester United,Newcastle United,3,1,1.3333333333333333,-1.0,2,1,-1.3333333333333333,-1,2,1,0.0,1,3,0,0.0,1,1,4,0.3333333333333333,-1,1,1,0.0,-1,0,1,-1.0,1
460,Tottenham Hotspur,Manchester United,0,0,1.0,1.6666666666666667,2,1,0.0,-1,3,0,0.0,1,2,1,0.0,1,1,1,0.0,-1,2,1,0.0,-1,3,1,-1.0,1
462,Stoke City,Manchester United,1,1,0.3333333333333333,0.6666666666666666,0,2,0.0,1,1,1,0.0,-1,1,0,0.0,-1,3,1,-1.0,1,2,0,-0.6666666666666666,1,0,0,1.0,-1
480,Manchester United,Southampton,0,1,0.6666666666666666,1.3333333333333333,3,1,-1.0,1,3,1,0.0,-1,0,0,1.0,-1,1,1,0.0,1,1,1,0.3333333333333333,-1,2,0,0.6666666666666666,1
486,Queens Park Rangers,Manchester United,0,2,-0.3333333333333333,-0.3333333333333333,0,0,0.0,1,0,0,1.0,-1,1,1,0.0,1,1,1,0.3333333333333333,-1,1,2,0.0,-1,0,1,1.3333333333333333,1
492,Manchester United,Leicester City,3,1,0.3333333333333333,0.0,1,1,0.3333333333333333,-1,2,2,0.0,-1,0,1,1.3333333333333333,1,1,0,0.0,1,2,0,-0.3333333333333333,-1,0,1,-0.3333333333333333,1
511,West Ham United,Manchester United,1,1,0.3333333333333333,1.0,1,1,-0.6666666666666666,-1,0,1,1.3333333333333333,1,3,0,0.0,1,2,0,-0.3333333333333333,-1,0,2,0.0,-1,3,1,0.0,1
519,Manchester United,Burnley,3,1,1.3333333333333333,-1.0,2,0,-0.3333333333333333,-1,2,3,0.3333333333333333,1,3,1,0.0,1,0,2,-1.0,-1,1,1,0.3333333333333333,-1,2,2,-0.6666666666666666,1
522,Swansea City,Manchester United,2,1,-0.3333333333333333,1.3333333333333333,1,0,0.0,-1,3,1,0.0,1,1,1,0.0,1,1,1,0.3333333333333333,-1,0,2,-1.0,-1,3,1,0.0,1
536,Manchester United,Sunderland,2,0,0.3333333333333333,-0.6666666666666666,1,1,0.3333333333333333,-1,1,1,0.0,-1,3,1,0.0,1,0,2,-1.6666666666666667,1,1,2,-0.3333333333333333,-1,0,0,-0.3333333333333333,1
547,Newcastle United,Manchester United,0,1,-1.3333333333333333,1.0,1,1,0.0,-1,3,1,0.0,1,0,5,1.0,-1,1,2,-0.3333333333333333,-1,1,0,0.0,1,2,0,-0.6666666666666666,1
557,Manchester United,Tottenham Hotspur,3,0,0.6666666666666666,0.6666666666666666,1,2,-0.3333333333333333,-1,2,2,0.0,1,2,0,-0.6666666666666666,1,3,2,0.0,1,1,0,-1.3333333333333333,-1,2,1,0.0,-1
569,Liverpool,Manchester United,1,2,1.3333333333333333,2.0,2,1,2.6666666666666665,1,2,0,-0.6666666666666666,1,2,0,0.0,1,1,0,-1.3333333333333333,-1,1,0,0.3333333333333333,-1,3,0,0.6666666666666666,1
577,Manchester United,Aston Villa,3,1,1.6666666666666667,1.3333333333333333,1,0,-1.3333333333333333,-1,2,1,1.0,1,3,0,0.6666666666666666,1,4,0,-0.6666666666666666,-1,2,1,0.0,-1,0,1,-0.3333333333333333,1
590,Manchester United,Manchester City,4,2,2.0,0.3333333333333333,3,0,0.6666666666666666,1,0,1,0.0,-1,2,1,0.0,-1,3,0,0.0,1,3,1,0.0,1,1,2,0.0,-1
593,Chelsea,Manchester United,1,0,1.0,1.6666666666666667,3,2,-0.3333333333333333,-1,2,1,0.0,-1,2,1,0.0,1,3,1,0.0,1,1,0,0.6666666666666666,-1,4,2,0.3333333333333333,1
607,Everton,Manchester United,3,0,0.6666666666666666,1.0,1,0,1.0,1,3,1,0.0,1,1,1,0.6666666666666666,-1,4,2,0.3333333333333333,1,1,0,0.0,1,0,1,0.0,-1
615,Manchester United,West Bromwich Albion,0,1,-0.6666666666666666,0.3333333333333333,4,2,0.3333333333333333,1,2,3,0.0,1,0,1,0.0,-1,2,0,0.0,-1,0,3,0.6666666666666666,-1,0,0,0.0,1
626,Crystal Palace,Manchester United,1,2,-1.6666666666666667,-1.6666666666666667,0,2,-2.3333333333333335,1,0,1,0.0,-1,0,2,-1.6666666666666667,1,0,3,0.6666666666666666,-1,0,1,0.0,-1,0,1,0.3333333333333333,1
638,Manchester United,Arsenal,1,1,-1.0,0.3333333333333333,0,3,0.6666666666666666,-1,0,0,0.0,1,0,1,0.3333333333333333,1,3,1,0.3333333333333333,-1,2,1,-1.6666666666666667,-1,0,1,0.3333333333333333,1
643,Hull City,Manchester United,0,0,-1.6666666666666667,0.0,1,3,0.0,1,0,1,0.3333333333333333,1,0,1,0.0,1,2,1,-1.6666666666666667,-1,0,2,0.0,-1,1,1,0.3333333333333333,1
652,Manchester United,Tottenham Hotspur,1,0,0.3333333333333333,0.0,2,1,-1.6666666666666667,-1,0,3,0.0,-1,1,1,0.3333333333333333,1,2,0,-0.6666666666666666,1,0,0,-1.6666666666666667,-1,1,0,0.0,-1
659,Aston Villa,Manchester United,0,1,-1.6666666666666667,0.3333333333333333,1,0,-0.3333333333333333,1,1,1,0.3333333333333333,1,1,6,-1.0,-1,0,0,-1.6666666666666667,-1,0,1,0.0,1,1,0,0.0,1
667,Manchester United,Newcastle United,0,0,0.6666666666666666,0.0,0,0,-1.6666666666666667,-1,2,0,0.0,1,1,0,0.0,1,2,2,0.3333333333333333,1,1,0,0.0,-1,0,2,-1.0,-1
679,Swansea City,Manchester United,2,1,0.6666666666666666,0.6666666666666666,2,2,0.0,-1,1,0,0.0,1,2,0,0.0,1,1,0,0.0,-1,1,1,-1.3333333333333333,-1,0,0,0.0,1
684,Manchester United,Liverpool,3,1,0.0,-0.6666666666666666,1,0,0.0,-1,1,0,2.6666666666666665,-1,0,0,0.0,1,0,0,0.6666666666666666,-1,1,2,0.6666666666666666,-1,0,3,-0.3333333333333333,1
693,Southampton,Manchester United,2,3,-1.0,0.3333333333333333,2,2,0.0,-1,0,0,0.0,1,0,3,0.0,1,1,2,0.6666666666666666,-1,0,0,-1.0,-1,3,1,0.0,1
700,Manchester United,Sunderland,3,0,0.6666666666666666,-0.3333333333333333,1,2,0.6666666666666666,-1,1,1,0.0,1,3,1,0.0,1,2,2,0.0,-1,3,2,-1.0,-1,0,1,0.0,1
708,Arsenal,Manchester United,3,0,1.0,2.0,2,0,0.0,1,3,1,0.0,1,0,2,0.0,-1,3,2,-1.0,-1,5,2,0.0,-1,3,0,-0.3333333333333333,1
712,Everton,Manchester United,0,3,0.3333333333333333,0.3333333333333333,0,0,1.0,-1,3,2,-1.0,-1,3,2,0.6666666666666666,-1,3,0,-0.3333333333333333,1,1,1,0.0,1,0,3,1.0,-1
721,Manchester United,Manchester City,0,0,1.0,0.3333333333333333,3,0,-0.3333333333333333,1,1,2,0.0,1,0,3,1.0,-1,1,4,0.0,-1,3,0,0.3333333333333333,-1,6,1,0.0,1
724,Crystal Palace,Manchester United,0,0,-0.3333333333333333,0.0,2,0,0.0,1,0,3,1.0,-1,1,3,1.0,1,3,0,0.3333333333333333,-1,0,1,0.0,-1,0,0,0.3333333333333333,1
731,Manchester United,West Bromwich Albion,2,0,1.0,-0.6666666666666666,3,0,0.3333333333333333,-1,0,2,0.0,-1,0,0,0.3333333333333333,1,1,0,0.0,1,0,0,-0.3333333333333333,-1,2,3,0.0,1
746,Leicester City,Manchester United,1,1,1.6666666666666667,0.6666666666666666,1,0,-0.3333333333333333,1,0,0,0.3333333333333333,1,3,2,-0.6666666666666666,-1,0,0,-0.3333333333333333,-1,3,0,-2.6666666666666665,-1,2,0,-0.6666666666666666,1
754,Manchester United,West Ham United,0,0,0.6666666666666666,-1.0,0,0,-0.3333333333333333,-1,1,1,0.0,1,2,0,-0.6666666666666666,1,1,4,0.6666666666666666,-1,1,1,1.6666666666666667,-1,1,1,-0.6666666666666666,1
776,Stoke City,Manchester United,2,0,0.3333333333333333,0.6666666666666666,2,0,-0.3333333333333333,1,2,0,-0.6666666666666666,1,0,0,-1.0,-1,1,1,1.6666666666666667,-1,1,2,0.0,1,0,0,-1.0,1
783,Manchester United,Chelsea,0,0,-0.6666666666666666,0.3333333333333333,1,1,1.6666666666666667,-1,0,0,1.6666666666666667,-1,0,0,-1.0,1,1,2,2.0,-1,0,2,0.3333333333333333,-1,3,1,0.3333333333333333,1
789,Manchester United,Swansea City,2,1,-0.6666666666666666,0.3333333333333333,0,0,-1.0,1,0,0,0.0,1,0,2,0.3333333333333333,-1,1,0,0.0,1,0,0,0.0,1,0,0,0.0,-1
796,Newcastle United,Manchester United,3,3,-1.0,-0.3333333333333333,0,1,0.0,1,0,2,0.3333333333333333,-1,0,1,-0.3333333333333333,-1,0,0,0.0,1,0,1,-0.3333333333333333,-1,2,1,0.3333333333333333,1
808,Liverpool,Manchester United,0,1,-0.3333333333333333,0.3333333333333333,1,0,-2.3333333333333335,-1,0,0,0.0,1,0,2,0.3333333333333333,-1,2,1,0.3333333333333333,1,3,3,-0.6666666666666666,1,3,3,-1.0,-1
810,Manchester United,Southampton,0,1,0.6666666666666666,2.0,2,1,0.3333333333333333,1,4,0,1.6666666666666667,1,3,3,-1.0,-1,1,2,0.0,-1,1,0,0.0,-1,3,0,0.6666666666666666,1
822,Manchester United,Stoke City,3,0,0.0,-1.3333333333333333,3,3,-1.0,-1,1,2,0.0,-1,1,0,0.0,-1,0,0,-1.0,1,0,1,2.0,1,0,3,0.0,-1
830,Chelsea,Manchester United,1,1,0.3333333333333333,1.0,2,2,0.3333333333333333,1,1,0,0.0,-1,3,3,-0.3333333333333333,1,0,1,2.0,1,1,0,0.3333333333333333,-1,3,0,-1.3333333333333333,1
832,Sunderland,Manchester United,2,1,-1.3333333333333333,0.6666666666666666,1,4,0.0,-1,0,1,2.0,1,0,1,1.3333333333333333,1,3,0,-1.3333333333333333,1,2,2,0.0,-1,1,1,0.0,-1
842,Manchester United,Arsenal,3,2,0.6666666666666666,0.0,3,0,-1.3333333333333333,1,0,1,0.0,1,1,1,0.0,-1,0,0,0.0,1,1,2,-1.3333333333333333,-1,2,1,0.0,1
857,West Bromwich Albion,Manchester United,1,0,0.6666666666666666,0.0,1,0,0.0,-1,1,1,0.0,-1,3,2,0.0,1,1,2,-1.3333333333333333,-1,2,2,0.0,-1,3,2,0.0,1
866,Manchester City,Manchester United,0,1,0.0,-0.3333333333333333,1,2,0.0,1,1,2,-1.3333333333333333,-1,0,3,0.0,-1,3,2,0.0,1,4,0,0.0,1,0,1,0.6666666666666666,-1
873,Manchester United,Everton,1,0,0.3333333333333333,-0.3333333333333333,3,2,0.0,1,3,1,0.0,-1,0,1,0.6666666666666666,-1,2,3,0.3333333333333333,1,1,0,0.0,-1,0,2,-0.6666666666666666,1
879,Tottenham Hotspur,Manchester United,3,0,0.6666666666666666,0.3333333333333333,2,2,-0.3333333333333333,1,0,1,0.6666666666666666,-1,2,0,0.0,-1,1,0,0.0,-1,1,1,0.0,-1,1,0,-0.3333333333333333,1
886,Manchester United,Aston Villa,1,0,-0.3333333333333333,-2.3333333333333335,1,0,0.0,-1,0,2,0.0,1,1,0,-0.3333333333333333,1,0,1,-0.3333333333333333,-1,0,3,0.6666666666666666,-1,0,4,0.3333333333333333,1
